Year,RegionID,SizeRank,RegionName,RegionType,StateName,AverageHousingPrice,MedianHousingPrice,MinPrice,MaxPrice
2018,394304,83,"Akron, OH",msa,OH,158298.3,158775.0,144600.0,168583.0
2018,394339,586,"Ashland, OH",msa,OH,134860.0,139067.0,108133.0,151933.0
2018,394340,404,"Ashtabula, OH",msa,OH,117251.7,119090.5,109300.0,119981.0
2018,394343,521,"Athens, OH",msa,OH,183483.3,184500.0,175517.0,191650.0
2018,394377,638,"Bellefontaine, OH",msa,OH,157828.2,158141.5,147667.0,162566.0
2018,394424,683,"Bucyrus, OH",msa,OH,80756.8,82900.0,71567.0,86517.0
2018,394434,714,"Cambridge, OH",msa,OH,117336.6,117866.5,112967.0,119950.0
2018,394439,137,"Canton, OH",msa,OH,149505.1,151358.5,137900.0,154967.0
2018,394449,681,"Celina, OH",msa,OH,161973.3,161591.5,158117.0,167267.0
2018,394465,460,"Chillicothe, OH",msa,OH,149764.2,151741.5,135962.0,161650.0
2018,394466,28,"Cincinnati, OH",msa,OH,217729.8,219766.5,199233.0,226633.0
2018,394475,35,"Cleveland, OH",msa,OH,171856.6,172800.0,159967.0,177333.0
2018,394492,32,"Columbus, OH",msa,OH,246930.0,247750.0,233267.0,256983.0
2018,394506,747,"Coshocton, OH",msa,OH,112416.6,111167.0,104033.0,122550.0
2018,845158,74,"Dayton, OH",msa,OH,141356.8,140917.0,130300.0,148267.0
2018,394526,716,"Defiance, OH",msa,OH,112236.0,111198.0,108600.0,121733.0
2018,394593,470,"Findlay, OH",msa,OH,182978.2,182325.0,176483.0,189900.0
2018,394618,541,"Fremont, OH",msa,OH,123051.8,124933.5,111950.0,129967.0
2018,394652,593,"Greenville, OH",msa,OH,120201.7,120750.0,109950.0,127600.0
2018,753892,798,"Jackson, OH",msa,OH,122362.4,121821.0,120433.0,125633.0
2018,394794,387,"Lima, OH",msa,OH,124171.6,126067.0,108150.0,129900.0
2018,394824,337,"Mansfield, OH",msa,OH,122943.4,125300.0,109117.0,128800.0
2018,753903,538,"Marietta, OH",msa,OH,162473.4,165508.5,149467.0,170117.0
2018,394827,504,"Marion, OH",msa,OH,98730.9,97433.5,87825.0,113133.0
2018,394889,524,"Mount Vernon, OH",msa,OH,163424.8,164748.5,153267.0,168267.0
2018,394911,414,"New Philadelphia, OH",msa,OH,138661.6,140000.0,129283.0,144900.0
2018,394923,544,"Norwalk, OH",msa,OH,130128.2,131041.5,123233.0,134483.0
2018,394999,474,"Portsmouth, OH",msa,OH,115833.4,116016.5,109833.0,121367.0
2018,753915,388,"Salem, OH",msa,OH,113573.3,117483.5,96383.0,119500.0
2018,395062,469,"Sandusky, OH",msa,OH,182829.9,184891.5,168233.0,189217.0
2018,395097,619,"Sidney, OH",msa,OH,135854.9,138083.5,124317.0,143266.0
2018,395117,316,"Springfield, OH",msa,OH,111290.1,112467.0,104833.0,114583.0
2018,395157,570,"Tiffin, OH",msa,OH,95675.0,95908.5,88467.0,101633.0
2018,395160,93,"Toledo, OH",msa,OH,151399.9,151950.0,140600.0,159233.0
2018,395178,712,"Urbana, OH",msa,OH,143478.5,145108.0,124933.0,154619.0
2018,395185,828,"Van Wert, OH",msa,OH,92166.6,92875.0,88583.0,94500.0
2018,395201,634,"Wapakoneta, OH",msa,OH,146240.0,146992.0,138200.0,151567.0
2018,395206,825,"Washington Court House, OH",msa,OH,125531.7,122408.0,110733.0,144733.0
2018,395230,682,"Wilmington, OH",msa,OH,139415.0,137200.0,130483.0,154150.0
2018,395237,355,"Wooster, OH",msa,OH,153683.3,153866.5,149600.0,156633.0
2018,395245,106,"Youngstown, OH",msa,OH,119444.1,120066.5,111600.0,123842.0
2018,395248,426,"Zanesville, OH",msa,OH,146680.0,149766.5,134567.0,149933.0
2019,394304,83,"Akron, OH",msa,OH,160938.08,160745.5,149600.0,172250.0
2019,394339,586,"Ashland, OH",msa,OH,150348.5,154941.5,127633.0,164800.0
2019,394340,404,"Ashtabula, OH",msa,OH,130167.92,132150.0,119900.0,140050.0
2019,394343,521,"Athens, OH",msa,OH,173827.67,172691.5,165583.0,181600.0
2019,394377,638,"Bellefontaine, OH",msa,OH,164410.92,164625.0,159233.0,172433.0
2019,394424,683,"Bucyrus, OH",msa,OH,85043.0,85383.5,76733.0,92650.0
2019,394434,714,"Cambridge, OH",msa,OH,127729.17,128775.0,113800.0,138267.0
2019,394439,137,"Canton, OH",msa,OH,157752.83,160100.0,148967.0,162267.0
2019,394449,681,"Celina, OH",msa,OH,152422.08,151941.5,145450.0,161583.0
2019,394465,460,"Chillicothe, OH",msa,OH,148732.0,152803.5,137113.0,157967.0
2019,394466,28,"Cincinnati, OH",msa,OH,227718.75,228279.0,211233.0,239633.0
2019,394475,35,"Cleveland, OH",msa,OH,179602.75,179908.0,169900.0,188300.0
2019,394492,32,"Columbus, OH",msa,OH,250816.5,250399.5,237583.0,263000.0
2019,394506,747,"Coshocton, OH",msa,OH,117306.92,117325.0,101933.0,132583.0
2019,845158,74,"Dayton, OH",msa,OH,154242.5,156940.5,139900.0,163467.0
2019,394526,716,"Defiance, OH",msa,OH,128696.0,128908.5,126067.0,131033.0
2019,394593,470,"Findlay, OH",msa,OH,185848.67,182525.0,176417.0,199583.0
2019,394618,541,"Fremont, OH",msa,OH,124745.92,127042.0,108600.0,133783.0
2019,394652,593,"Greenville, OH",msa,OH,125578.42,126941.5,117483.0,134600.0
2019,753892,798,"Jackson, OH",msa,OH,122708.17,123758.0,113933.0,127250.0
