RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31
395248,426,"Zanesville, OH",msa,OH,134567.0,140100.0,144800.0,148167.0,149633.0,149933.0,149900.0,149900.0,149900.0,149900.0,149900.0,147567.0,145900.0,144933.0,147267.0,148950.0,151617.0,154617.0,156300.0,154633.0,151633.0,149933.0,149900.0,149900.0,150417.0,150417.0,157083.0,164267.0,167633.0,160983.0,159950.0,159617.0,159633.0,157133.0,157283.0,157250.0,153083.0,154533.0,157900.0,164566.0,168300.0,168267.0,166633.0,165767.0,167433.0,164933.0,159117.0,159650.0,160450.0,163600.0,163767.0,167100.0,173117.0,182417.0,191617.0,200133.0,201833.0,202333.0,196300.0,187133.0,181050.0,184383.0,193549.0,206599.0,216599.0,226417.0,228117.0,227817.0,224800.0,227283.0,218417.0,214917.0,214067.0,228233.0,238233.0,247933.0,252933.0,256267.0,246567.0,239900.0
394465,460,"Chillicothe, OH",msa,OH,152550.0,155883.0,159950.0,161650.0,156617.0,150933.0,145900.0,141265.0,136932.0,135962.0,137113.0,137478.0,137313.0,139163.0,145495.0,150812.0,154795.0,155098.0,155617.0,156300.0,157633.0,157967.0,156600.0,154967.0,157783.0,167817.0,177817.0,183667.0,178633.0,173600.0,171600.0,174783.0,175617.0,173850.0,170667.0,168117.0,163217.0,163067.0,168133.0,174783.0,177967.0,179650.0,179667.0,180000.0,175719.0,174053.0,172386.0,178917.0,187250.0,198917.0,203343.0,205843.0,205810.0,207467.0,206600.0,203300.0,211517.0,224000.0,229317.0,220433.0,224483.0,239133.0,248950.0,249100.0,245767.0,247433.0,243267.0,241633.0,231650.0,228650.0,221965.0,226946.0,227430.0,228932.0,236450.0,243150.0,256333.0,261333.0,261300.0,254967.0
395062,469,"Sandusky, OH",msa,OH,168233.0,174933.0,179867.0,183900.0,186700.0,188433.0,189100.0,189217.0,185883.0,182033.0,179083.0,177417.0,176417.0,176417.0,181417.0,189900.0,196267.0,199600.0,199600.0,201267.0,201967.0,201967.0,200600.0,194933.0,201633.0,208300.0,219783.0,219767.0,218133.0,221617.0,219467.0,214133.0,200500.0,194567.0,193383.0,208717.0,216783.0,226600.0,220433.0,211267.0,199600.0,199067.0,201567.0,201600.0,193300.0,195833.0,205800.0,207967.0,210467.0,209833.0,217567.0,219233.0,219650.0,212983.0,215983.0,206200.0,205967.0,196267.0,197117.0,197450.0,205817.0,213300.0,230367.0,242033.0,261033.0,273133.0,278133.0,275667.0,266833.0,269317.0,271117.0,272450.0,262450.0,274133.0,287467.0,309950.0,307967.0,301300.0,284633.0,274633.0
394593,470,"Findlay, OH",msa,OH,178683.0,182417.0,189083.0,189900.0,185433.0,180450.0,176483.0,179050.0,182233.0,186050.0,183950.0,182117.0,180267.0,185950.0,197583.0,199583.0,197750.0,182933.0,181267.0,176417.0,182017.0,180350.0,179350.0,178017.0,181350.0,193617.0,198667.0,206033.0,209467.0,210300.0,206267.0,196567.0,192933.0,186267.0,184600.0,187833.0,193067.0,202233.0,207667.0,209100.0,204933.0,199900.0,198750.0,195417.0,195117.0,190300.0,191817.0,188300.0,190933.0,202183.0,210183.0,215183.0,208100.0,205117.0,205150.0,202800.0,206600.0,207933.0,207933.0,202933.0,197400.0,202433.0,215100.0,230933.0,245900.0,248100.0,247200.0,237200.0,232333.0,229900.0,229900.0,227233.0,227083.0,233750.0,242783.0,249300.0,254333.0,254633.0,252450.0,242417.0
394999,474,"Portsmouth, OH",msa,OH,110000.0,111417.0,116400.0,121367.0,121283.0,121267.0,117967.0,115633.0,113167.0,109833.0,108167.0,108967.0,112300.0,115633.0,118800.0,122133.0,124800.0,125000.0,125000.0,124983.0,122983.0,119650.0,116333.0,116500.0,119467.0,122800.0,125967.0,126333.0,126333.0,125967.0,127300.0,129617.0,131983.0,131983.0,131333.0,132983.0,137150.0,143783.0,143767.0,144900.0,141567.0,143233.0,143233.0,144900.0,145933.0,147600.0,149267.0,148267.0,144933.0,148267.0,150600.0,157300.0,154000.0,154666.0,154633.0,156267.0,156583.0,153250.0,151617.0,149933.0,149967.0,149633.0,152967.0,155600.0,156600.0,156617.0,157317.0,160233.0,158550.0,163517.0,165100.0,171050.0,171000.0,175800.0,176550.0,176633.0,176633.0,176783.0,178417.0,179283.0
394827,504,"Marion, OH",msa,OH,87825.0,89950.0,97800.0,104467.0,113133.0,109783.0,105317.0,97067.0,93750.0,88217.0,84467.0,84133.0,88067.0,94103.0,103070.0,107503.0,110933.0,113049.0,118017.0,120350.0,119100.0,112433.0,106433.0,101917.0,101850.0,99550.0,100050.0,105317.0,113617.0,120100.0,124900.0,128233.0,131567.0,126600.0,123617.0,116983.0,121950.0,134933.0,146417.0,149767.0,139800.0,133317.0,128333.0,124000.0,123733.0,123700.0,124517.0,121450.0,124817.0,136633.0,146633.0,146433.0,141433.0,143083.0,148250.0,148267.0,143283.0,138283.0,136600.0,131600.0,132633.0,137633.0,141967.0,147633.0,155983.0,164950.0,169950.0,164933.0,160617.0,156283.0,156283.0,161800.0,164033.0,177208.0,196008.0,208940.0,204098.0,189098.0,181583.0,178283.0
394343,521,"Athens, OH",msa,OH,184000.0,185000.0,188333.0,191650.0,191650.0,186150.0,179250.0,175883.0,175517.0,177400.0,179067.0,181600.0,181300.0,179633.0,177300.0,173800.0,170500.0,166833.0,165583.0,168883.0,169850.0,171583.0,166600.0,167467.0,170817.0,180083.0,182550.0,184367.0,183117.0,183633.0,180150.0,178483.0,177167.0,175333.0,171667.0,163150.0,159900.0,158867.0,168200.0,171283.0,178817.0,178833.0,182500.0,176667.0,172667.0,165667.0,162833.0,159983.0,163617.0,169283.0,177800.0,185483.0,185983.0,182317.0,177500.0,177500.0,177833.0,176633.0,169950.0,171517.0,175550.0,185533.0,187267.0,181567.0,183100.0,190633.0,204000.0,209167.0,210000.0,206633.0,203117.0,206117.0,211133.0,225317.0,230650.0,244667.0,245333.0,245333.0,239500.0,237917.0
394889,524,"Mount Vernon, OH",msa,OH,153267.0,161546.0,164880.0,168246.0,166600.0,168267.0,167933.0,164617.0,160983.0,157909.0,159559.0,164726.0,165633.0,170633.0,170767.0,176567.0,179917.0,183746.0,181180.0,179446.0,178780.0,179713.0,176463.0,176446.0,177746.0,176046.0,177875.0,181542.0,184875.0,186567.0,184933.0,186600.0,182633.0,,,150783.0,155783.0,,183150.0,203150.0,209633.0,221083.0,211900.0,216083.0,212483.0,218317.0,214967.0,209933.0,204917.0,206600.0,205967.0,218983.0,225650.0,238650.0,233150.0,229742.0,230709.0,234892.0,238267.0,242967.0,244633.0,248000.0,253333.0,273320.0,290783.0,308116.0,316130.0,315000.0,307633.0,296267.0,295233.0,293567.0,293600.0,303300.0,313333.0,327750.0,331017.0,332650.0,321533.0,309933.0
753903,538,"Marietta, OH",msa,OH,149467.0,150267.0,156350.0,162717.0,168083.0,168633.0,170117.0,168083.0,166417.0,164600.0,163550.0,160233.0,158900.0,158900.0,162217.0,165200.0,171250.0,176250.0,179900.0,181500.0,181367.0,176550.0,169983.0,163450.0,161633.0,159967.0,161650.0,166617.0,175250.0,183567.0,184433.0,185767.0,188450.0,193350.0,195217.0,199233.0,198500.0,199667.0,193000.0,194667.0,186333.0,181333.0,172000.0,167333.0,162150.0,160633.0,165633.0,168050.0,170533.0,167200.0,173300.0,178333.0,186983.0,187283.0,188033.0,192717.0,199583.0,203500.0,199983.0,199650.0,197983.0,209417.0,218250.0,230583.0,234000.0,236633.0,237883.0,236383.0,238050.0,245450.0,250583.0,248917.0,246583.0,243283.0,246616.0,245633.0,248633.0,246966.0,247917.0,244883.0
394618,541,"Fremont, OH",msa,OH,112867.0,118100.0,123767.0,129600.0,129967.0,129967.0,129433.0,126100.0,118767.0,111950.0,108600.0,110950.0,116450.0,122133.0,126967.0,127117.0,126117.0,127300.0,131150.0,133117.0,133783.0,133267.0,133267.0,128583.0,125283.0,122733.0,125333.0,126633.0,130850.0,134600.0,135383.0,133500.0,128500.0,123750.0,120667.0,118983.0,121233.0,128733.0,141667.0,156583.0,160750.0,162833.0,159667.0,154667.0,148000.0,139300.0,137300.0,133967.0,133467.0,138033.0,146333.0,155833.0,154917.0,148250.0,145533.0,150517.0,155550.0,156617.0,152483.0,149983.0,148333.0,151150.0,161650.0,177983.0,185967.0,188300.0,186783.0,185967.0,183100.0,174917.0,172100.0,168783.0,170483.0,171650.0,174133.0,174617.0,175750.0,181600.0,185200.0,187400.0
394923,544,"Norwalk, OH",msa,OH,123233.0,124750.0,128083.0,129083.0,130933.0,134117.0,134483.0,134300.0,131150.0,131150.0,130915.0,127548.0,127631.0,128017.0,133350.0,130250.0,129950.0,127950.0,129450.0,129200.0,129200.0,127717.0,126600.0,128933.0,133900.0,140967.0,140300.0,140150.0,134783.0,136450.0,136600.0,138233.0,134900.0,134900.0,136567.0,138267.0,138267.0,138300.0,140600.0,141967.0,144433.0,146467.0,148433.0,148700.0,149333.0,142667.0,135433.0,127633.0,127667.0,135167.0,141571.0,151237.0,163137.0,177567.0,178717.0,167983.0,154950.0,148467.0,154200.0,160050.0,170683.0,165783.0,164967.0,160000.0,170000.0,179817.0,186450.0,178083.0,168233.0,169750.0,178100.0,184767.0,189617.0,202100.0,212967.0,213300.0,210817.0,209133.0,212433.0,206450.0
395157,570,"Tiffin, OH",msa,OH,88467.0,93283.0,96117.0,95700.0,92400.0,97383.0,101633.0,101600.0,97600.0,92567.0,97567.0,98233.0,101567.0,99900.0,98167.0,104833.0,104517.0,105917.0,102583.0,106233.0,109267.0,105933.0,102600.0,99900.0,99900.0,99900.0,99267.0,105933.0,109300.0,117600.0,116533.0,121500.0,122167.0,126917.0,128583.0,128583.0,131567.0,139100.0,147467.0,150800.0,149633.0,149300.0,149000.0,146967.0,147267.0,144233.0,144083.0,143267.0,146633.0,149967.0,155800.0,159100.0,161017.0,157700.0,155367.0,150933.0,149267.0,146633.0,148317.0,144983.0,146617.0,149633.0,156267.0,160300.0,167300.0,176467.0,182283.0,183917.0,176433.0,166517.0,158200.0,159850.0,171867.0,177533.0,185867.0,186417.0,183917.0,176450.0,173950.0,180617.0
